time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-31 00:00:00+00:00,9,4,4,2
2026-04-01 00:00:00+00:00,16,7,0,0
2026-04-02 00:00:00+00:00,9,5,0,0
2026-04-03 00:00:00+00:00,22,10,0,0
2026-04-04 00:00:00+00:00,8,7,0,0
2026-04-05 00:00:00+00:00,22,12,1,1
2026-04-06 00:00:00+00:00,13,5,0,0
2026-04-07 00:00:00+00:00,11,6,11,2
2026-04-08 00:00:00+00:00,23,9,7,2
2026-04-09 00:00:00+00:00,22,8,0,0
2026-04-10 00:00:00+00:00,17,8,1,1
2026-04-11 00:00:00+00:00,8,6,0,0
2026-04-12 00:00:00+00:00,8,4,1,1
2026-04-13 00:00:00+00:00,32,9,2,1
