url_path,views_total,views_unique
/antonioscalaunina/ANTI-FASc,8,7
/antonioscalaunina/ANTI-FASc/tree/main/utils,4,2
/antonioscalaunina/ANTI-FASc/tree/main/config_files,3,1
/antonioscalaunina/ANTI-FASc/tree/main/config_files/Parameters,3,1
/antonioscalaunina/ANTI-FASc/blob/main/bin/Rupture_areas_OF.m,2,1
/antonioscalaunina/ANTI-FASc/blob/main/config_files/Parameters/Rigidity_variation_Mak.txt,2,1
/antonioscalaunina/ANTI-FASc/tree/main,2,1
/antonioscalaunina/ANTI-FASc/tree/main/bin,2,1
/antonioscalaunina/ANTI-FASc/tree/main/src/Rupture_areas,2,1
/antonioscalaunina/ANTI-FASc/tree/main/utils/sz_slabs,2,1
