time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-26 00:00:00+00:00,31,17,0,0
2026-05-27 00:00:00+00:00,30,15,0,0
2026-05-28 00:00:00+00:00,10,4,0,0
2026-05-29 00:00:00+00:00,16,7,2,1
2026-05-30 00:00:00+00:00,33,12,0,0
2026-05-31 00:00:00+00:00,15,6,0,0
2026-06-01 00:00:00+00:00,3,2,1,1
2026-06-02 00:00:00+00:00,19,9,0,0
2026-06-03 00:00:00+00:00,2,2,1,1
2026-06-04 00:00:00+00:00,22,8,8,3
2026-06-05 00:00:00+00:00,10,9,6,1
2026-06-06 00:00:00+00:00,40,15,1,1
2026-06-07 00:00:00+00:00,14,5,0,0
2026-06-08 00:00:00+00:00,10,4,1,1
