time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-02 00:00:00+00:00,19,9,0,0
2026-06-03 00:00:00+00:00,2,2,1,1
2026-06-04 00:00:00+00:00,22,8,8,3
2026-06-05 00:00:00+00:00,10,9,6,1
2026-06-06 00:00:00+00:00,40,15,1,1
2026-06-07 00:00:00+00:00,14,5,0,0
2026-06-08 00:00:00+00:00,10,4,1,1
2026-06-09 00:00:00+00:00,22,8,0,0
2026-06-10 00:00:00+00:00,15,7,0,0
2026-06-11 00:00:00+00:00,25,11,0,0
2026-06-12 00:00:00+00:00,25,10,1,1
2026-06-13 00:00:00+00:00,37,14,1,1
2026-06-14 00:00:00+00:00,15,6,0,0
2026-06-15 00:00:00+00:00,21,6,9,2
