time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-08 00:00:00+00:00,23,9,7,2
2026-04-09 00:00:00+00:00,22,8,0,0
2026-04-10 00:00:00+00:00,17,8,1,1
2026-04-11 00:00:00+00:00,8,6,0,0
2026-04-12 00:00:00+00:00,8,4,1,1
2026-04-13 00:00:00+00:00,32,9,2,1
2026-04-14 00:00:00+00:00,14,7,1,1
2026-04-15 00:00:00+00:00,13,4,0,0
2026-04-16 00:00:00+00:00,29,10,0,0
2026-04-17 00:00:00+00:00,15,5,0,0
2026-04-18 00:00:00+00:00,19,10,0,0
2026-04-19 00:00:00+00:00,41,14,0,0
2026-04-20 00:00:00+00:00,30,13,2,2
2026-04-21 00:00:00+00:00,60,24,0,0
