time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-08 00:00:00+00:00,10,4,1,1
2026-06-09 00:00:00+00:00,22,8,0,0
2026-06-10 00:00:00+00:00,15,7,0,0
2026-06-11 00:00:00+00:00,25,11,0,0
2026-06-12 00:00:00+00:00,25,10,1,1
2026-06-13 00:00:00+00:00,37,14,1,1
2026-06-14 00:00:00+00:00,15,6,0,0
2026-06-15 00:00:00+00:00,21,6,9,2
2026-06-16 00:00:00+00:00,22,8,0,0
2026-06-17 00:00:00+00:00,15,6,1,1
2026-06-18 00:00:00+00:00,25,6,0,0
2026-06-19 00:00:00+00:00,27,7,1,1
2026-06-20 00:00:00+00:00,52,14,0,0
2026-06-21 00:00:00+00:00,37,8,0,0
